Qty,Designator,Footprint,Comment,LCSC Part#,Description,Value,Device,Package,Parts,Description,BUILT_BY,CAN,CATEGORY,COLOR,COPYRIGHT,CURRENT_RATING,DATASHEET,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,DIGI-KEY_PART_NUMBER_4,DRAIN_CURRENT,ENDSTOP,EXTRUDER,FAN0,FAN1,FAN2,FAN3,FORWARD_CURRENT,LCSCPN#,MANUFACTURER,MANUFACTURER_PART_NUMBER,MFR_NAME,MPN,OPERATING_TEMP,OPERATING_TEMPERATURE,PART_STATUS,POPULARITY,PROD_ID,RATING,REVERSE_VOLTAGE,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SOURCELIBRARY,SUB-CATEGORY,SUBCATEGORY,THERMALLOSS,THERMAL_LOSS,TOLERANCE,TYPE,VALUE,VENDOR,VOLTAGE_RATING,ZENER_VOLTAGE
1,C28,CAPC1005X60,C_CHIP-0402(1005-METRIC),C1532,Capacitor - Generic,22nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,C28,Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C1532,,,,,,,,,,,,,,,,,,,,,,,,,
3,"C21, C22, C38",CAPC2012X110,C_CHIP-0805(2012-METRIC),C338080,Capacitor - Generic,22uF,C_CHIP-0805(2012-METRIC),CAPC2012X110,"C21, C22, C38",Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C338080,,,,,,,,,,,,,,,,,,,,,,,,,
6,"R10, R11, R31, R44, R46, R48",RESC1005X40,R_CHIP-0402(1005-METRIC),C31439,Resistor Fixed - Generic,27.4R,R_CHIP-0402(1005-METRIC),RESC1005X40,"R10, R11, R31, R44, R46, R48",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C31439,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,P2,SOT23-5,V_REG_AP2112K-3.3V,C51118,AP2112 - 600mA CMOS LDO Regulator w/ Enable,3.3V,V_REG_AP2112K-3.3V,SOT23-5,P2,AP2112 - 600mA CMOS LDO Regulator w/ Enable,,,,,,,,,,,,,,,,,,,,,C51118,,,,,,,,,VREG-12457,,,,,,,,,,,,,3.3V,,,
2,"C1, C2",CAPC1005X60,C_CHIP-0402(1005-METRIC),C1570,Capacitor - Generic,30pF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C1, C2",Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C1570,,,,,,,,,,,,,,,,,,,,,,,,,
1,R34,RESC1005X40,R_CHIP-0402(1005-METRIC),C227106,Resistor Fixed - Generic,4.12K,R_CHIP-0402(1005-METRIC),RESC1005X40,R34,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C227106,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
5,"R17, R18, R19, R20, R33",RESC1005X40,R_CHIP-0402(1005-METRIC),C304616,Resistor Fixed - Generic,4.7K,R_CHIP-0402(1005-METRIC),RESC1005X40,"R17, R18, R19, R20, R33",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C304616,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
5,"C32, C42, C43, C44, C45",CAPC1608X85,C_CHIP-0603(1608-METRIC),C162274,Capacitor - Generic,4.7uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,"C32, C42, C43, C44, C45",Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C162274,,,,,,,,,,,,,,,,,,,,,,,,,
3,"R7, R15, R28",RESC1005X40,R_CHIP-0402(1005-METRIC),C25120,Resistor Fixed - Generic,49.9R,R_CHIP-0402(1005-METRIC),RESC1005X40,"R7, R15, R28",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C25120,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,R5,RESC1005X40,R_CHIP-0402(1005-METRIC),C3015918,Resistor Fixed - Generic,511k,R_CHIP-0402(1005-METRIC),RESC1005X40,R5,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C3037035,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,C23,CAPC1005X60,C_CHIP-0402(1005-METRIC),C37809,Capacitor - Generic,75pF,C_CHIP-0402(1005-METRIC),CAPC1005X60,C23,Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C37809,,,,,,,,,,,,,,,,,,,,,,,,,
1,U5,ADXL345_LGA14,ADXL345BCCZ-RL,C9667,Digital Accelerometer,ADXL345,ADXL345BCCZ-RL,ADXL345_LGA14,U5,Digital Accelerometer,,,SENSOR,,,,,Digital Accelerometer ,,,,,,,,,,,,,C9667,ANALOG DEVICES,,,ADXL345BCCZ-RL,,−55°C to +105°C,ACTIVE,,,,,,RoHS Compliant,ADXL345,,Accelerometer,,,,,3-Axis Digital MEMS Accelerometer,,,,
