Qty,Designator,Footprint,Comment,LCSC Part #,Description,Value
1,J1,MOLEX_39281063,39281063,,Conn Wire to Board HDR 6Power POS 4.2mm Solder ST Top Entry Thru-Hole Mini-Fit Jr Bag  Check availability,39281063
1,X1,JST-XH-02-PACKAGE-LONG-PAD,JST-XH-02-PIN-LONG-PAD,,JST XH Connector 2 Pin,JST-XH-02-PIN-LONG-PAD
1,X2,TERMINAL-BLOCK-4-PIN-3.5MM-LONG-PAD,TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD,,Terminal Block 3.5mm,TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD
